timestamp,edge,signal,nexus,equity,position
2026-03-23 20:49:33.268138,0.0,HOLD (VETO),45.0,25000.0,0
2026-03-23 20:49:39.303471,0.0,HOLD (VETO),45.0,25000.0,0
2026-03-23 20:49:45.561955,0.0,HOLD (VETO),45.0,25000.0,0
2026-03-23 20:49:51.596898,0.0,HOLD (VETO),45.0,25000.0,0
2026-03-23 20:49:57.656638,0.0,HOLD (VETO),45.0,25000.0,0
2026-03-23 20:50:03.774596,0.0,HOLD (VETO),45.0,25000.0,0
2026-03-23 20:50:09.888891,0.0,HOLD (VETO),45.0,25000.0,0
2026-03-23 20:50:15.998562,0.0,HOLD (VETO),45.0,25000.0,0
2026-03-23 20:50:22.230884,0.0,HOLD (VETO),45.0,25000.0,0
2026-03-23 20:50:28.353988,0.0,HOLD (VETO),45.0,25000.0,0
